description,event_datetime,visiting_team,home_team_score,visiting_team_score,promotion,zone_name,section_name,number_of_transactions,number_of_tickets
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Right Field 304,26,97
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Right Field 305,37,117
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Right Field 307,18,62
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 302,2,4
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 304,9,19
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 305,3,9
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 326,9,22
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 327,9,31
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 328,8,23
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 330,12,33
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,View Deck Baselines,View Box 331,9,37
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 202,11,23
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 203,15,41
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 204,12,30
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 205,12,20
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 226,13,33
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 227,24,66
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 228,14,38
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 229,19,53
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 230,6,16
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Club Baselines,Club Level Outfield 231,4,10
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Lower Baselines,Lower Box 102,19,48
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Lower Baselines,Lower Box 103,35,84
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Lower Baselines,Lower Box 104,40,120
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Lower Baselines,Lower Box 127,65,164
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Lower Baselines,Lower Box 128,57,131
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Lower Baselines,Lower Box 129,66,190
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Lower Baselines,Lower Box 130,52,157
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Outfield 325,25,85
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Outfield 326,12,26
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Outfield 327,24,94
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Outfield 328,8,28
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Outfield 330,10,34
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Outfield 331,8,36
